

END409,ALTI SİGMA UYGULAMALARI,3,0,0,3,6, Görüntüle, Görüntüle
END415,YATIRIM PLANLAMASI,3,0,0,3,6, Görüntüle, Görüntüle
END428,İSTATİSTİKSEL KALİTE KONTROL,3,0,0,3,6, Görüntüle, Görüntüle
END434,TEKNOLOJİ GİRİŞİMCİLİĞİ,3,0,0,3,6, Görüntüle, Görüntüle
END437,TEDARİK ZİNCİRİ YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END439,KURUMSAL KAYNAK PLANLAMASI-ERP,1,0,2,2,6, Görüntüle, Görüntüle
END440,KUYRUK KURAMI,3,0,0,3,6, Görüntüle, Görüntüle
END442,SİMÜLASYON DİLLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END444,ÇOK ÖLÇÜTLÜ KARAR VERME,3,0,0,3,6, Görüntüle, Görüntüle
END447,SİSTEM DİNAMİĞİ,2,0,0,2,6, Görüntüle, Görüntüle
END448,İLERİ YÖNEYLEM ARAŞTIRMASI,3,0,0,3,6, Görüntüle, Görüntüle
END449,YALIN ÜRETİM,1,2,0,2,6, Görüntüle, Görüntüle
END450,BAKIM YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END452,TERSİNE MÜHENDİSLİK,3,0,0,3,6, Görüntüle, Görüntüle
END453,İŞ DEĞERLENDİRMESİ VE ÜCRET SİSTEMLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END454,ENERJİ EKONOMİSİ,3,0,0,3,6, Görüntüle, Görüntüle
END455,ENDÜSTRİ MÜHENDİSLİĞİNDE ÖZEL KONULAR I,3,0,0,3,6, Görüntüle, Görüntüle
END456,ENDÜSTRİ MÜHENDİSLİĞİNDE ÖZEL KONULAR II,2,0,2,3,6, Görüntüle, Görüntüle
END458,PROJE YÖNETİMİ,2,0,2,3,6, Görüntüle, Görüntüle
END459,BİLGİSAYARLA BÜTÜNLEŞİK İMALAT SİSTEMLERİ,1,0,2,2,6, Görüntüle, Görüntüle
END460,TOPLAM KALİTE YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
FIZ453,FİZİK III,5,0,0,5,6, Görüntüle, Görüntüle



END208,SİSTEM ANALİZİ VE TASARIMI,2,0,0,2,6, Görüntüle, Görüntüle
END310,PAZARLAMA YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END330,ENDÜSTRİ İŞLETMELERİ YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END336,YATIRIM ANALİZİ VE PORTFOY YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END339,STOK VE ENVANTER YÖNETİMİ,1,1,1,2,6, Görüntüle, Görüntüle
END340,ENDÜSTRİYEL ROBOTLAR,3,0,0,3,6, Görüntüle, Görüntüle
END341,HÜCRESEL ÜRETİM SİSTEMLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END342,MALZEME TAŞIMA SİSTEMLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END343,ÜRETİM KAYNAKLARI PLANLAMASI,1,1,1,2,6, Görüntüle, Görüntüle
END344,MODERN İMALAT SİSTEMLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END345,ÇİZELGELEME,1,2,0,2,6, Görüntüle, Görüntüle
END346,ÜRETİM BİLGİ SİTEMLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END348,DENEY TASARIMI,3,0,0,3,6, Görüntüle, Görüntüle
END349,İLERİ KALİTE MÜHENDİSLİĞİ,3,0,0,3,6, Görüntüle, Görüntüle
END350,İSTATİSTİKSEL KARAR VERME,3,0,0,3,6, Görüntüle, Görüntüle
END351,STOKASTİK SÜREÇLER,3,0,0,3,6, Görüntüle, Görüntüle
END353,DİNAMİK PROGRAMLAMA,3,0,0,3,6, Görüntüle, Görüntüle
END354,KARAR VE OYUN KURAMLARI,3,0,0,3,6, Görüntüle, Görüntüle
END356,SEZGİSEL YÖNTEMLER,3,0,0,3,6, Görüntüle, Görüntüle
END409,ALTI SİGMA UYGULAMALARI,3,0,0,3,6, Görüntüle, Görüntüle
END415,YATIRIM PLANLAMASI,3,0,0,3,6, Görüntüle, Görüntüle
END428,İSTATİSTİKSEL KALİTE KONTROL,3,0,0,3,6, Görüntüle, Görüntüle
END434,TEKNOLOJİ GİRİŞİMCİLİĞİ,3,0,0,3,6, Görüntüle, Görüntüle
END437,TEDARİK ZİNCİRİ YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END439,KURUMSAL KAYNAK PLANLAMASI-ERP,1,0,2,2,6, Görüntüle, Görüntüle
END440,KUYRUK KURAMI,3,0,0,3,6, Görüntüle, Görüntüle
END442,SİMÜLASYON DİLLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END444,ÇOK ÖLÇÜTLÜ KARAR VERME,3,0,0,3,6, Görüntüle, Görüntüle
END447,SİSTEM DİNAMİĞİ,2,0,0,2,6, Görüntüle, Görüntüle
END448,İLERİ YÖNEYLEM ARAŞTIRMASI,3,0,0,3,6, Görüntüle, Görüntüle
END449,YALIN ÜRETİM,1,2,0,2,6, Görüntüle, Görüntüle
END450,BAKIM YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle
END452,TERSİNE MÜHENDİSLİK,3,0,0,3,6, Görüntüle, Görüntüle
END453,İŞ DEĞERLENDİRMESİ VE ÜCRET SİSTEMLERİ,3,0,0,3,6, Görüntüle, Görüntüle
END454,ENERJİ EKONOMİSİ,3,0,0,3,6, Görüntüle, Görüntüle
END455,ENDÜSTRİ MÜHENDİSLİĞİNDE ÖZEL KONULAR I,3,0,0,3,6, Görüntüle, Görüntüle
END456,ENDÜSTRİ MÜHENDİSLİĞİNDE ÖZEL KONULAR II,2,0,2,3,6, Görüntüle, Görüntüle
END458,PROJE YÖNETİMİ,2,0,2,3,6, Görüntüle, Görüntüle
END459,BİLGİSAYARLA BÜTÜNLEŞİK İMALAT SİSTEMLERİ,1,0,2,2,6, Görüntüle, Görüntüle
END460,TOPLAM KALİTE YÖNETİMİ,3,0,0,3,6, Görüntüle, Görüntüle



BIL201,NESNE YÖNELİMLİ PROGRAMLAMA,3,2,0,4,6, Görüntüle, Görüntüle
BIL202,VERİ YAPILARI VE ALGORİTMALAR,3,0,0,3,6, Görüntüle, Görüntüle
BIL206,BİLGİSAYAR MİMARİSİ,2,2,0,3,6, Görüntüle, Görüntüle
BIL216,GÖRSEL PROGRAMLAMA,2,2,0,3,6, Görüntüle, Görüntüle
BIL308,YAZILIM MÜHENDİSLİĞİ,2,2,0,3,6, Görüntüle, Görüntüle
